地区,高中以下 （active）,高中以下（就业中) ,高中以下（All）,高中及大专以上非大专学历 (active) ,高中及大专以上非大专学历(就业中) ,高中及大专以上非大专学历 (All) ,大学 (active) ,大学 (就业中) ,大学 (All) 
Austria,15.5,9,15.2,5.5,4.2,6.7,4.3,3.5,5.5
Belgium,7.1,4.8,11.6,5.7,5,7.5,3.7,3.3,4.2
Czech Republic,2.1,2.5,6,3.5,3,4.4,1.7,1.7,2
Denmark,10.4,6.5,15.5,7.4,6.9,8.8,5.7,4.7,6.7
Estonia,4.7,4.7,6.4,3.7,3.8,5.2,3.6,3.6,4.3
Finland,7.4,3.1,14.4,10.9,9.2,13.2,7.4,6.7,8.9
France,7.7,7.1,9.4,4.9,4.3,5.7,4.2,4,4.9
Germany,14.4,12.4,17,11.4,10.6,12.5,8.2,7.9,8.9
Greece,4.2,2.9,5.4,2.9,2.7,3.4,2,1.6,2.4
Hungary,6.5,6.2,10.3,2.6,2.1,4.2,2,1.6,2.8
Iceland,14.2,13.5,22.5,12.1,11.7,15.7,8.5,8.5,9.5
Ireland,21.3,17.1,22.9,11.4,9.4,11.6,8.7,8,9
Italy,4,3,5.3,2.6,2.1,3.3,1.9,1.5,1.9
Latvia,6.9,5.8,13.3,7.3,6.5,8.7,6.6,5.8,7.3
Lithuania,5.5,7.4,10.1,2.8,2.4,4.7,1.4,1,1.4
Luxembourg,13.3,11.3,15.1,12.2,10.9,12.3,5.1,4.8,6.1
Netherlands,7.5,6.1,13.8,6.8,6.2,9.1,3.5,2.8,4.5
Norway,10.2,8.6,14.2,4.8,4.7,8.1,3.1,2.9,4.2
Poland,3.4,2.9,6.3,3.1,2.7,4.2,2.4,2.2,2.9
Portugal,11.8,9.7,13.6,8.1,7.7,8.3,5.9,5.2,6.7
Slovak Republic,5.7,5.1,8.9,2.6,2.2,4.4,1.8,1.6,2.1
Slovenia,12.3,10.2,12.6,7.1,5.4,7.7,6.2,5.8,6.6
Spain,7.5,5.2,9.7,5.8,5.1,7.1,3.3,2.7,3.5
Sweden,8.8,8.2,11.4,9.2,8.7,10.6,7.9,7.8,9
Turkey,10.5,10,13.3,12.9,12.5,12.5,9.1,8.2,9.5
United Kingdom,11,8.1,15.2,8.3,7.1,10.7,5.7,5.3,7.1
